x,y
1.1391e-06,9.6904e-09
1.5789e-06,5.0429e-09
2.0813e-06,2.9324e-09
3.0225e-06,1.3876e-09
4.1894e-06,7.3854e-10
5.4436e-06,4.3685e-10
7.7927e-06,2.1473e-10
1.0801e-05,1.1336e-10
1.4238e-05,6.57e-11
2.0676e-05,3.1521e-11
2.8659e-05,1.6602e-11
3.7238e-05,9.8202e-12
5.3308e-05,4.9082e-12
7.3888e-05,2.6256e-12
9.7397e-05,1.5701e-12
0.00014144,7.8107e-13
0.00019555,4.392e-13
0.00026216,2.6097e-13
0.00038622,1.3516e-13
0.00052526,8.3202e-14
0.00072618,5.0203e-14
0.0011169,2.8005e-14
0.0014953,1.9872e-14
0.0021,1.4101e-14
0.0029033,1.0878e-14
0.0039486,8.9339e-15
0.0055492,7.5818e-15
0.0074243,6.756e-15
0.0088194,6.5494e-15
0.010101,6.472e-15
0.012405,6.24e-15
0.015369,5.928e-15
0.016656,5.896e-15
0.020453,5.704e-15
0.025342,5.4e-15
0.027585,5.312e-15
0.033574,5.04e-15
0.041785,4.88e-15
0.045281,4.872e-15
0.055606,4.864e-15
0.068896,4.816e-15
0.074662,4.768e-15
0.091685,4.768e-15
0.1136,4.72e-15
0.12366,4.72e-15
0.15117,4.664e-15
0.18899,4.664e-15
0.2048,4.64e-15
0.25038,4.6e-15
0.31161,4.56e-15
0.33769,4.56e-15
0.41284,4.576e-15
0.5138,4.56e-15
0.55929,4.584e-15
0.68375,4.568e-15
0.85477,4.664e-15
0.92218,4.664e-15
1.1274,4.72e-15
1.4094,4.768e-15
1.5273,4.776e-15
1.8672,4.816e-15
2.3239,4.816e-15
2.5183,4.816e-15
3.0925,4.8e-15
3.8317,4.768e-15
4.1524,4.768e-15
5.0991,4.776e-15
6.3179,4.776e-15
6.8772,4.776e-15
8.4076,4.776e-15
10.511,4.768e-15
11.39,4.784e-15
13.863,4.776e-15
17.33,4.784e-15
18.781,4.816e-15
