x,y
1.1391e-06,3.2301e-09
1.5789e-06,1.681e-09
2.0813e-06,9.7746e-10
3.0225e-06,4.6253e-10
4.1894e-06,2.4618e-10
5.4436e-06,1.4562e-10
7.7927e-06,7.1576e-11
1.0801e-05,3.7787e-11
1.4238e-05,2.19e-11
2.0676e-05,1.0507e-11
2.8659e-05,5.534e-12
3.7238e-05,3.2734e-12
5.3308e-05,1.6361e-12
7.3888e-05,8.752e-13
9.7397e-05,5.2336e-13
0.00014144,2.6036e-13
0.00019555,1.464e-13
0.00026216,8.6988e-14
0.00038622,4.5055e-14
0.00052526,2.7734e-14
0.00072618,1.6734e-14
0.0011169,9.3351e-15
0.0014953,6.6241e-15
0.0021,4.7003e-15
0.0029033,3.6261e-15
0.0039486,2.978e-15
0.0055492,2.5273e-15
0.0074243,2.252e-15
0.0088194,2.1831e-15
0.010101,2.1573e-15
0.012405,2.08e-15
0.015369,1.976e-15
0.016656,1.9653e-15
0.020453,1.9013e-15
0.025342,1.8e-15
0.027585,1.7707e-15
0.033574,1.68e-15
0.041785,1.6267e-15
0.045281,1.624e-15
0.055606,1.6213e-15
0.068896,1.6053e-15
0.074662,1.5893e-15
0.091685,1.5893e-15
0.1136,1.5733e-15
0.12366,1.5733e-15
0.15117,1.5547e-15
0.18899,1.5547e-15
0.2048,1.5467e-15
0.25038,1.5333e-15
0.31161,1.52e-15
0.33769,1.52e-15
0.41284,1.5253e-15
0.5138,1.52e-15
0.55929,1.528e-15
0.68375,1.5227e-15
0.85477,1.5547e-15
0.92218,1.5547e-15
1.1274,1.5733e-15
1.4094,1.5893e-15
1.5273,1.592e-15
1.8672,1.6053e-15
2.3239,1.6053e-15
2.5183,1.6053e-15
3.0925,1.6e-15
3.8317,1.5893e-15
4.1524,1.5893e-15
5.0991,1.592e-15
6.3179,1.592e-15
6.8772,1.592e-15
8.4076,1.592e-15
10.511,1.5893e-15
11.39,1.5947e-15
13.863,1.592e-15
17.33,1.5947e-15
18.781,1.6053e-15
